OFFICE,SGD.NUMBER,SGD.DATE,IMPORTER.TIN,FOB.VALUE,CIF.VALUE,TARIFF.DESCRIPTION,QUANTITE,TOTAL.TAXES,GROSS.WEIGHT,HS6,OFFICEHS6,SGD.WeekofYear
OO210,29108.0,14/12/2021,X25X1K922D,"586965,52","586965,52",-- Autres,11.0,258737.0,461,701349.0,ML210701349,50.0
OO360,2175.0,10/05/2022,XAE1IE1KXJ,3150000,3150000,-- Autres,1000.0,567000.0,50000,252329.0,ML360252329,19.0
OO300,8360.0,22/07/2022,XAKAXXI6AL,5574326,5574326,- Autres,1.0,2457166.0,75,690590.0,ML300690590,29.0
OO899,7919.0,17/02/2022,XAKAXX65EH,5727011,5727011,---- Gas-oil,45000.0,28636.0,39015,271019.0,ML899271019,7.0
OO130,3418.0,17/08/2021,XA6151IAXN,6000000,6000000,- Carottes et navets,800.0,15000.0,20000,70610.0,ML130070610,33.0
OO104,60608.0,24/09/2022,XA22E99X5Y,30116500,30116500,- Farine de moutarde et moutarde pr�par�e,6700.0,75291.0,50250,210330.0,ML104210330,39.0
OO899,19368.0,13/05/2022,XAI1X2112R,39882,39882,---- Gas-oil,40000.0,320416.0,34680,271019.0,ML899271019,19.0
OO500,1885.0,09/04/2021,X51XX5112T,65000000,65000000,--- D�une cylindr�e exc�dant 50 cm3 mais n�exc�dant pas 80 cm3,325.0,28652000.0,44250,871120.0,ML500871120,15.0
OO104,12992.0,12/03/2022,XAE1IIX9EN,5626740,5626740,- Autres,235.0,2480269.0,1852,220900.0,ML104220900,11.0
OO201,2971.0,16/03/2022,XAKAXXAEAK,"3888474,68","3888474,68",-- Parties de machines de sondage ou de forage des n�s�8430.41 ou 8430.49,1.0,1025782.0,119,843143.0,ML201843143,11.0
OO899,18333.0,07/07/2022,XAII115AKL,54837,54837,---- Gas-oil,55000.0,0.0,47685,271019.0,ML899271019,27.0
OO205,4237.0,01/09/2022,XA51EA9EIC,1703588,1703588,-- D'une �paisseur inf�rieure � 3�mm,6000.0,549919.0,6000,720854.0,ML205720854,35.0
OO899,22008.0,12/07/2021,XAKAXX51IY,16099135,16099135,-- Butanes,1.0,900206.0,24120,271113.0,ML899271113,28.0
OO320,982.0,09/02/2021,XIIXXX6IIX,2800000,2800000,-- Autres,1.0,504000.0,40000,120729.0,ML320120729,6.0
OO104,24838.0,07/05/2022,XAI2X19IXG,35421678,35421678,- Autres remorques et semi-remorques,1.0,11434120.0,14442,871640.0,ML104871640,19.0
OO121,18931.0,05/04/2021,XA11I6KA6A,150000,150000,-- Amplificateurs,74.0,375.0,1500,854233.0,ML121854233,14.0
OO801,25332.0,12/08/2021,XA22XX62AA,7447638,7447638,- Bo�tes et caisses en papier ou carton ondul�,1540.0,1340575.0,10669,481910.0,ML801481910,32.0
OO104,14802.0,24/02/2021,XAKAXX1IEV,13989250,13989250,---- Autres,1.0,34973.0,2062,870333.0,ML104870333,8.0
OO899,2586.0,27/01/2021,X51XXX6K6F,9687424,9687424,---- Gas-oil,45000.0,193751.0,39015,271019.0,ML899271019,4.0
OO300,1335.0,13/04/2022,XIIXXX6I5A,3000000,3000000,-- Autres,500.0,0.0,30000,81340.0,ML300081340,15.0
OO805,376.0,07/01/2022,XA61E1EKEE,"4753875,45","4753875,45",-- Autres,53.0,109341.0,3000,846729.0,ML805846729,1.0
OO210,28573.0,10/12/2021,XAE1I5AE6Y,6802720,6802720,"-- Cellules solaires m�me assembl�es en modules ou non, ou constitu�es en panneaux",124.0,500002.0,2592,854140.0,ML802854140,50.0
OO341,1031.0,27/08/2022,XA22EXEA5H,14007550,14007550,-- Autres,1060.0,2521359.0,17922,330499.0,ML341330499,35.0
OO899,33816.0,18/10/2021,XAKAXX65EH,4820197,4820197,---- Fuel-oil lourd I,41840.0,72303.0,41009,271019.0,ML899271019,42.0
OO801,4360.0,25/02/2022,XA21XX921R,29765623,29765623,-- Peintures,61.0,0.0,13739,320820.0,ML801320820,8.0
OO420,746.0,14/03/2021,X61XXXKI5P,8000000,8000000,- Th� vert (non ferment�) pr�sent� autrement,1500.0,20000.0,30000,90220.0,ML420090220,11.0
OO121,10651.0,23/04/2022,XAKAXX125W,7488400,7488400,---- Gas-oil,45000.0,18721.0,39015,271019.0,ML121271019,17.0
OO801,29879.0,21/09/2021,XAE12116IL,2482162,2482162,- Ciments non pulv�ris�s dits �clinkers�,1.0,57091.0,51780,252310.0,ML801252310,38.0
OO104,17985.0,08/03/2021,XA51I6IA9D,647546,647546,-- Autres,2.0,1619.0,150,851660.0,ML104851660,10.0
OO320,34604.0,30/10/2021,XA51EI512K,20824949,20824949,-- Autres,3958.0,9179640.0,39512,330499.0,ML320330499,44.0
OO201,3700.0,06/04/2021,XAKAXXIXXL,23995,23995,-- Autres,1.0,6331.0,1,843149.0,ML201843149,14.0
OO899,16909.0,25/04/2022,XAII115AKL,7783776,7783776,--- Super carburant,45000.0,5304978.0,34650,271012.0,ML899271012,17.0
OO210,22328.0,21/09/2021,X25X1E2I2E,15256976,15256976,-- Ebauches ou pr�formes,44.0,2746256.0,12000,392330.0,ML210392330,38.0
OO210,15488.0,24/08/2022,XAE121XK2C,4172753,4172753,-- Filtres d'entr�e d'air pour moteurs � allumage par �tincelles ou par compression,3.0,1100775.0,362,842131.0,ML210842131,34.0
OO380,13364.0,02/12/2021,XA511A16EY,16656968,16656968,--- Super carburant,53000.0,41642.0,40810,271012.0,ML380271012,48.0
OO320,14252.0,28/04/2021,XI1XXX6K1V,4634500,4634500,-- Autres,1.0,1222582.0,40300,120729.0,ML320120729,17.0
OO899,24390.0,30/08/2021,XA5126A12D,6230695,6230695,---- Gas-oil,45000.0,0.0,39015,271019.0,ML899271019,35.0
OO805,13872.0,21/09/2022,XA61E9119Y,141795684,141795684,"-- Autres, avec dispositif de r�frig�ration",6.0,0.0,684,841582.0,ML805841582,38.0
OO360,3242.0,09/04/2022,XAIIE1EIKP,400000,400000,"-- Pr�parations � base de lait contenant des mati�res grasses v�g�tales, en poudre ou en",357.0,1000.0,3000,190190.0,ML360190190,15.0
OO201,6182.0,04/06/2021,XA51215EKB,2503787,2503787,- Autres instruments et appareils,3.0,37557.0,46,901890.0,ML201901890,23.0
OO320,2900.0,27/01/2021,XA51EI512K,8295773,8295773,"- Produits et pr�parations organiques tensio-actifs destin�s au lavage de la peau, sous ",1850.0,5125131.0,18398,340130.0,ML320340130,4.0
OO200,2167.0,29/07/2022,XAKAXX1E6C,128250000,128250000,- Cigarettes contenant du tabac,855.0,116059171.0,14706,240220.0,ML200240220,30.0
OO130,4255.0,29/06/2022,6XX1XXXXAC,4629922,4629922,- Autres,769.0,2040873.0,11179,81090.0,ML130081090,26.0
OO400,8346.0,30/12/2020,XE1XXX1K1D,7799276,7799276,- Autres g�n�ratrices,1.0,2517609.0,974,851150.0,ML400851150,53.0
OO210,26.0,16/02/2022,XA11I5922M,1474591,1474591,--- Autres,6.0,650002.0,60,852872.0,ML210852872,7.0
OO400,418.0,21/10/2021,XIIXXX26KA,137855500,137855500,-- Autres,1.0,0.0,82000,842959.0,ML400842959,42.0
OO400,6068.0,31/07/2022,XE1X1AE5XD,22847500,22847500,-- D�un coefficient d�absorption d�eau en poids sup�rieur � 10 %,2740.0,4112550.0,70300,690723.0,ML400690723,31.0
OO121,16336.0,23/03/2021,XAKAXX65EH,6000000,6000000,---- Gas-oil,45000.0,15000.0,39015,271019.0,ML121271019,12.0
OO420,2481.0,19/08/2021,X51XXX16AA,4725000,4725000,-- Autres,1500.0,11813.0,75000,252329.0,ML420252329,33.0
